Student_ID,Attendance (%),Internal Test 1 (out of 40),Internal Test 2 (out of 40),Assignment Score (out of 10),Daily Study Hours,Final Exam Marks (out of 100),Academic_Risk,Attendance_Category,Study_Hours_Category,Average_Internal_Score,Total_Internal_Score,Engagement_Score,Engagement_Level,Performance_Grade
S1000,84,30,36,7,3,72,Moderate Risk,Good,Moderate,33.0,66,0.7133333333333334,Moderate,C
S1001,91,24,38,6,3,56,Moderate Risk,Excellent,Moderate,31.0,62,0.7033333333333333,Moderate,E
S1002,73,29,26,7,3,56,Moderate Risk,Average,Moderate,27.5,55,0.6766666666666666,Moderate,E
S1003,80,36,35,7,3,74,Moderate Risk,Good,Moderate,35.5,71,0.7000000000000001,Moderate,C
S1004,84,31,37,8,3,66,Moderate Risk,Good,Moderate,34.0,68,0.7466666666666667,Moderate,D
S1005,100,34,34,7,3,79,Low Risk,Excellent,Moderate,34.0,68,0.7666666666666666,Moderate,C
S1006,96,40,36,8,3,83,Low Risk,Excellent,Moderate,38.0,76,0.7866666666666666,Moderate,B
S1007,83,39,37,7,3,77,Low Risk,Good,Moderate,38.0,76,0.71,Moderate,C
S1008,91,30,37,8,2,71,Moderate Risk,Excellent,Low,33.5,67,0.7033333333333333,Moderate,C
S1009,87,27,37,8,3,61,Moderate Risk,Good,Moderate,32.0,64,0.7566666666666667,Moderate,D
S1010,77,34,25,7,2,54,Moderate Risk,Good,Low,29.5,59,0.6233333333333334,Moderate,E
S1011,78,26,28,6,3,53,Moderate Risk,Good,Moderate,27.0,54,0.66,Moderate,E
S1012,77,27,29,7,3,53,Moderate Risk,Good,Moderate,28.0,56,0.69,Moderate,E
S1013,84,28,34,9,3,55,Moderate Risk,Good,Moderate,31.0,62,0.7799999999999999,Moderate,E
S1014,86,38,33,8,3,65,Moderate Risk,Good,Moderate,35.5,71,0.7533333333333334,Moderate,D
S1015,71,28,29,7,3,53,Moderate Risk,Average,Moderate,28.5,57,0.6699999999999999,Moderate,E
S1016,94,34,36,8,3,75,Low Risk,Excellent,Moderate,35.0,70,0.7799999999999999,Moderate,C
S1017,85,29,36,7,2,69,Moderate Risk,Good,Low,32.5,65,0.6499999999999999,Moderate,D
S1018,84,36,34,8,3,74,Moderate Risk,Good,Moderate,35.0,70,0.7466666666666667,Moderate,C
S1019,82,35,29,7,3,66,Moderate Risk,Good,Moderate,32.0,64,0.7066666666666667,Moderate,D
S1020,98,40,40,9,4,92,Low Risk,Excellent,Moderate,40.0,80,0.8933333333333332,High,A
S1021,83,27,35,7,2,52,Moderate Risk,Good,Low,31.0,62,0.6433333333333332,Moderate,E
S1022,84,26,35,8,3,54,Moderate Risk,Good,Moderate,30.5,61,0.7466666666666667,Moderate,E
S1023,91,35,32,7,3,67,Moderate Risk,Excellent,Moderate,33.5,67,0.7366666666666667,Moderate,D
S1024,85,35,26,6,3,52,Moderate Risk,Good,Moderate,30.5,61,0.6833333333333332,Moderate,E
S1025,91,37,37,8,2,77,Low Risk,Excellent,Low,37.0,74,0.7033333333333333,Moderate,C
S1026,86,39,30,7,3,71,Moderate Risk,Good,Moderate,34.5,69,0.7200000000000001,Moderate,C
S1027,86,31,27,7,2,56,Moderate Risk,Good,Low,29.0,58,0.6533333333333333,Moderate,E
S1028,95,40,33,9,3,80,Low Risk,Excellent,Moderate,36.5,73,0.8166666666666668,High,B
S1029,85,25,36,7,3,65,Moderate Risk,Good,Moderate,30.5,61,0.7166666666666667,Moderate,D
S1030,78,25,33,7,3,56,Moderate Risk,Good,Moderate,29.0,58,0.6933333333333334,Moderate,E
S1031,75,31,35,7,3,60,Moderate Risk,Good,Moderate,33.0,66,0.6833333333333332,Moderate,D
S1032,85,34,35,8,4,73,Moderate Risk,Good,Moderate,34.5,69,0.8166666666666668,High,C
S1033,77,33,29,7,2,64,Moderate Risk,Good,Low,31.0,62,0.6233333333333334,Moderate,D
S1034,91,40,36,9,4,81,Low Risk,Excellent,Moderate,38.0,76,0.8700000000000001,High,B
S1035,87,33,33,8,3,69,Moderate Risk,Good,Moderate,33.0,66,0.7566666666666667,Moderate,D
S1036,83,32,26,7,4,70,Moderate Risk,Good,Moderate,29.0,58,0.7766666666666667,Moderate,C
S1037,80,29,36,6,3,54,Moderate Risk,Good,Moderate,32.5,65,0.6666666666666666,Moderate,E
S1038,84,31,31,7,3,58,Moderate Risk,Good,Moderate,31.0,62,0.7133333333333334,Moderate,E
S1039,90,39,40,10,3,88,Low Risk,Excellent,Moderate,39.5,79,0.8333333333333334,High,B
S1040,92,34,39,8,3,74,Moderate Risk,Excellent,Moderate,36.5,73,0.7733333333333334,Moderate,C
S1041,75,31,24,8,2,55,Moderate Risk,Good,Low,27.5,55,0.65,Moderate,E
S1042,100,36,39,7,4,85,Low Risk,Excellent,Moderate,37.5,75,0.8333333333333334,High,B
S1043,80,31,31,9,2,59,Moderate Risk,Good,Low,31.0,62,0.7000000000000001,Moderate,E
S1044,76,33,30,7,3,59,Moderate Risk,Good,Moderate,31.5,63,0.6866666666666666,Moderate,E
S1045,97,38,33,7,3,79,Low Risk,Excellent,Moderate,35.5,71,0.7566666666666667,Moderate,C
S1046,95,40,36,7,3,84,Low Risk,Excellent,Moderate,38.0,76,0.75,Moderate,B
S1047,92,35,40,9,3,85,Low Risk,Excellent,Moderate,37.5,75,0.8066666666666666,High,B
S1048,80,34,28,8,4,60,Moderate Risk,Good,Moderate,31.0,62,0.8000000000000002,High,D
S1049,94,29,30,7,3,64,Moderate Risk,Excellent,Moderate,29.5,59,0.7466666666666666,Moderate,D
S1050,84,33,31,8,3,67,Moderate Risk,Good,Moderate,32.0,64,0.7466666666666667,Moderate,D
S1051,74,31,32,6,2,51,Moderate Risk,Average,Low,31.5,63,0.58,Low,E
S1052,80,28,32,8,2,61,Moderate Risk,Good,Low,30.0,60,0.6666666666666666,Moderate,D
S1053,75,34,30,9,3,71,Moderate Risk,Good,Moderate,32.0,64,0.75,Moderate,C
S1054,92,36,37,9,3,77,Low Risk,Excellent,Moderate,36.5,73,0.8066666666666666,High,C
S1055,94,33,35,7,4,70,Moderate Risk,Excellent,Moderate,34.0,68,0.8133333333333334,High,C
